MENU_ITEM_NAME,SUB_ITEM_QUANTITY
Add Whole Milk Mozzarella 4oz,33.00
Espresso Martini,36.00
No Boom Boom Sauce*,33.00
No Seasoning,37.00
Side Of Hot Wing Sauce,33.00
Soda,33.00
Add Diced Smoked Ham,32.00
Add Hand-Breaded Crispy Chicken,33.00
Add Pickled Red Onion,32.00
Add Steak,31.00
Bacon Bits On The Side*,30.00
Cranberry,32.00
Extra Grilled Chicken,32.00
Loaded Fries,32.00
Med Rare,32.00
Moscow Mule,35.00
SWEET POTATO FRIES,32.00
Sex On Beach,32.00
2 Limes,31.00
Add Queso 4oz*,31.00
Add Shredded Parmesan (Pizza),31.00
Blackberry,31.00
Blue Cheese Dressing NC,31.00
Everything Bagel,31.00
NO CHEESE,31.00
Pineapple,31.00
Substitute Ranch,31.00
Sugar Free,31.00
.,30.00
Add Caesar Dressing,30.00
Add Cheddar Jack Cheese,30.00
Add Honey Mustard*,31.00
Add Pickles,30.00
Extra Croutons,30.00
Guinness,31.00
Lemon Drop Shot,31.00
No Salsa*,30.00
Side Onion Rings*,31.00
Sub Grilled Chicken,30.00
TOOO GOOOO,30.00
Add Crispy Pepperoni Cups 30ea,29.00
COKE ZERO,29.00
No Mayo,28.00
PINT GLASS,32.00
Queso On The Side,26.00
Rita,29.00
Roasted Red Pepper On The Side*,26.00
TOOOO GOOOOOOO,30.00
Toss in Sauce,29.00
W Lime,29.00
White Russian,30.00
Add Grilled Chicken Slices 4oz*,29.00
EVERYTHING BAGEL,27.00
Extra Lime,28.00
Lg Poblano,28.00
Nancy,28.00
No Salt On Fries,28.00
Romaine On The Side,28.00
Sunny Side Up (2),28.00
WELL DONE,28.00
Mix Sauces,27.00
No Onion Straws*,27.00
No Ranch*,27.00
No Sausage,27.00
Pickled Red Onions On The Side*,27.00
Side Of Buffalo,27.00
Smoked Old Fashioned,27.00
Titos,27.00
Add Burger Patty,26.00
Add Grilled Mushrooms,26.00
Add Jalapeno Slice,26.00
Add Shrimp,26.00
All Flats If Possible,25.00
CLD GLASS,26.00
Caesar Dressing NC*,26.00
Extra Croutons 4oz,28.00
Extra Ranch,26.00
Lite Ice,26.00
Mixed,25.00
No Celery,26.00
No Melted Butter*,26.00
OLD FASHIONED,26.00
Price,26.00
TALL,26.00
TO GO*,26.00
To Go!!!,26.00
Add Buttermilk Ranch Dressing,25.00
Add Melted Butter*,25.00
Blackened Chicken,25.00
Croutons on the side*,24.00
FRIED,25.00
Frosted Glass,25.00
Gingerale,25.00
MIX SAUCES,25.00
No Coleslaw,25.00
No Lemon Wedge*,25.00
No Smoke,25.00
PEACH,25.00
Queso On The Side*,25.00
Scrambled (1),28.00
To Go!!,25.00
To Go!!!!,25.00
With Tacos,25.00
Asian Chili Crisp Sauce,24.00
BUCKET,31.00
Cotija Cheese On The Side*,24.00
Dragon Fruit,24.00
No Grated Parmesan*,24.00
Queso On Side,24.00
Strawberry Lemonade Flavor,24.00
Sub Tater Tots,24.00
Sweet Baby Rays BBQ Wing Sauce TOSS*,24.00
To Go!!!!!!,24.00
Togo!,24.00
W Cold Glass,24.00
Add 1 Chicken Tender,23.00
Add Balsamic Vinaigrette Dressing*,23.00
Add Onion Cilantro Mix (Tacos)*,23.00
Add Tomato Slices,23.00
BIG ROCK,24.00
Extra Jalapeno Slice,23.00
Extra Onion Cilantro Mix,23.00
Lettuce,24.00
Mix Lem Pep,23.00
Mojito,23.00
Pear,23.00
SPICY,25.00
Side Of Queso,23.00
Sub Steak,23.00
Tap Out Marg,23.00
Toooo Gooooooo,23.00
Toss Fries In Cajun,23.00
AS WRAP,22.00
Add Cotija Cheese,22.00
Add Italian Sausage 15ea,22.00
Add Queso,22.00
Add Shredded Cheddar Jack Cheese 4oz*,22.00
Add Shredded Parmesan*(2),23.00
Add Swiss Cheese,22.00
Blue Moon Glass,22.00
Extra Celery,22.00
French 75,22.00
No Onions,21.00
OJ,22.00
Onion Straws On The Side*,22.00
Over Medium (1),22.00
Plastic Cup,23.00
Side Of Mayo,22.00
Sub Shrimp,22.00
Wet*,22.00
AS APP,19.00
Add Cod 4oz,21.00
Add Croutons,21.00
Add Diced Tomato 2oz*,21.00
Add Grilled Onions,21.00
Add Peach,21.00
As Wrap,21.00
Balsamic Vinaigrette 3oz,21.00
Buffalo On Side,21.00
Chipotle Pineapple,21.00
Everything,21.00
Grapefruit,21.00
Jalapenos On Side,21.00
Lemon,21.00
Lemon Wedge,21.00
NO SMOKE,21.00
No Chips Sub Tots,21.00
No Lime Wedge,21.00
Rare*,20.00
SALT RIM,21.00
Sd Mayo,21.00
Side Of Hot Sauce,21.00
Sour Cream On Side,21.00
Strawberry Basil Mule,21.00
Sub Titos,21.00
Toooo Goooooo,21.00
Toss Tots In Cajun,21.00
