MENU_ITEM_NAME,AVERAGE_ITEM_PRICE,ITEM_QUANTITY,ITEM_NET_AMOUNT
Deep Eddy Lemon,5.00,13.00,65.00
Ecco Domani Pinot Grigio btl,33.00,14.00,297.00
Hi Wire Mango Lazerade,4.14,14.00,54.70
Mom Water Dad Water can,3.00,14.00,42.00
New - Onion Rings,10.00,13.00,130.00
Old Nation M43,7.15,13.00,91.50
Rumpy,6.50,16.00,70.00
Scofflaw Quest Coast,5.36,14.00,58.15
Side Of Lemon Pepper,0.21,14.00,2.50
Sun Cruiser Iced Tea Vodka can,6.00,14.00,78.00
Sweet Spot Spritz (MM26),8.00,14.00,112.00
Tip,0.12,14.00,1.62
Tivoli OUTLAW LIGHT BEER can,5.00,14.00,70.00
Westbrook Its Tiki Time! can,10.00,10.00,55.00
Whistle Pig 10,19.82,14.00,268.50
Bardstown Origin 6YR Bourbon,18.40,15.00,264.00
Cigar City Florida Man Fruit Punched DIPA CAN,5.00,13.00,60.00
Freakshow Cabernet Sauvignon btl,42.00,12.00,462.00
HH CR White Zin 6,5.00,11.00,50.00
Hippin Hops So Peachy can,7.00,13.00,89.25
Irish Red,3.23,13.00,38.02
Johnny Walker Blue Scotch,64.38,12.00,612.18
Khonso Jaya,5.58,12.00,67.00
Mich Ultra Bucket,15.00,11.00,165.00
Miller Lite Bucket,15.38,13.00,200.00
Side Of Queso,0.08,13.00,1.00
Side Queso,0.04,13.00,0.50
Side of Mustard*,0.50,13.00,6.00
Sunbird Lemon Lime 3mg can,5.00,13.00,64.22
Zombie,5.77,13.00,75.00
Ace Pineapple,5.25,12.00,45.00
Black Widow,8.86,14.00,124.00
Can,4.09,11.00,45.00
Dad Water,6.75,12.00,69.00
Dos Equis,7.50,12.00,86.32
El Buho Ensamble 01 Mezcal,20.33,12.00,242.20
Grilled Cheese,6.17,12.00,59.00
Hendricks,8.00,12.00,83.38
Home Fries,3.00,12.00,27.00
Juiced On Ponce,6.92,12.00,76.00
Negroni,11.27,11.00,124.00
Night On Ponce,5.77,13.00,75.00
Rumple,6.08,12.00,64.00
Side Pickles,0.34,11.00,3.75
Side Ranch,0.50,13.00,6.50
Side of Balsamic Glaze*,0.55,11.00,6.00
Side of Balsamic Vinaigrette,0.50,12.00,5.80
Tempura Fried Steak Strips,15.00,12.00,157.50
Test,0.96,12.00,10.53
Tullamore Dew Honey,7.50,12.00,72.50
Whistle Pig 12,35.42,12.00,408.00
Basket of Tots,4.45,11.00,48.13
Blade And Bow,15.00,11.00,92.47
Chili Crisp Chicken Sliders,11.00,11.00,99.00
Huli Huli Chicken Wings,13.64,11.00,145.00
Innis N Gunn,5.00,11.00,55.00
Lucky Charm,9.00,11.00,99.00
Mens Shirt,20.00,14.00,256.69
Modelo,5.77,13.00,75.00
New Amsterdam Pink Whitney Vodka,8.17,12.00,98.00
Ono Pizza,14.00,10.00,137.20
Patagonia,6.82,11.00,75.00
Pretzel,1.70,10.00,17.00
Side Coleslaw*,4.23,11.00,46.50
Side Of Cajun,0.09,11.00,1.00
Side of Teriyaki,0.50,9.00,3.75
Sun Cruiser Peach,7.60,10.00,68.40
$5 Sunrise Martini,0.00,10.00,0.00
2 Chicken Tenders,0.00,10.00,0.00
All American Pub Burger 6oz (Lunch),10.20,10.00,102.00
Angels Envy Triple Oak,24.00,11.00,264.00
Big Ponce Can,5.00,10.00,48.00
Bravazzi,4.56,9.00,39.82
Chicago Cheesesteak Sandwich,3.50,8.00,0.00
Dunkl,7.00,10.00,70.00
Guinness,6.78,9.00,61.00
Hand breaded Pickle Chips,12.50,8.00,100.01
Hazy On Ponce,7.10,10.00,63.00
Irish Mule,7.00,10.00,70.00
Kahlua,4.90,10.00,48.30
LHH Chips & Queso,7.17,9.00,57.50
Labbatt Blue,4.90,10.00,49.00
Mexican Pizza Beef,12.00,10.00,120.00
Mexican Pizza Chicken,12.00,10.00,120.00
Modello,6.00,10.00,60.00
Monday Night Italian Pils,6.00,10.00,60.00
Moody Tongue,9.78,9.00,77.00
Nearest Green Tennessee Whiskey,13.80,10.00,138.00
Paradise,9.33,12.00,106.94
Quest Coast,5.80,10.00,58.00
S/O Poblano,0.50,10.00,4.90
Shinerbock,6.00,10.00,60.00
Side Of Buffalo,0.05,10.00,0.50
Side Of Celery,0.55,10.00,5.50
Side Of Nashville Hot,0.10,10.00,1.00
Side of House Dressing,0.53,10.00,5.30
Side of Ketchup*,0.00,11.00,0.00
Side of Spicy Mayo,0.50,9.00,3.50
Side of Utah Sauce*,0.50,10.00,4.88
Sun Cruiser Lemonade,7.60,10.00,72.50
Sun Cruiser No Make,6.50,10.00,65.00
Twea,4.91,11.00,44.00
$1 Draft,0.89,9.00,8.00
Ammunition Rye Whiskey,22.56,9.00,156.00
Bud Light Draft,4.00,9.00,36.00
Cambio Tequila Blanco,8.00,8.00,64.00
Cold Glass,0.00,9.00,0.00
Creature Comforts Silent World,6.89,9.00,62.00
Franciscan Cabernet btl,40.00,7.00,235.22
Frosty Shot,6.00,9.00,54.00
Fruit Cup,3.50,9.00,30.63
Grove Margarita,8.00,8.00,64.00
Hangar 1 Makrut Lime Vodka,10.11,9.00,91.00
I. W. Harper 15 Year Bourbon,30.44,9.00,256.00
Korean BBQ Pork Sliders w side,11.11,9.00,49.50
Oban 14 Single Malt Scotch Whiskey,16.00,9.00,136.00
Old Nation,7.11,9.00,64.00
Pineapple Rum Butter Cake,10.00,9.00,90.00
Ponce Ipa Can,5.00,9.00,45.00
Red Hare Long Day Lager,5.63,8.00,45.00
Reformation Tracker,5.78,9.00,52.00
Side Of Jalapenos,0.44,8.00,3.50
Side Of Salsa*,0.00,9.00,0.00
Side of Balsamic Glaze,0.50,9.00,4.50
Sierra Nevada Can,6.00,9.00,54.00
The Dalmore Sherry Cask 12 Year,19.20,10.00,192.00
2 Scoops Of Ice Cream,3.44,8.00,27.50
Bold Monk Genesis,7.00,8.00,56.00
Bud Light Btl,4.00,8.00,32.00
Cambio Tequila Reposado,11.25,8.00,90.00
DIVE BEER,3.25,8.00,26.00
Dylux,4.00,7.00,28.00
El Matador,40.00,5.00,179.99
Hh Auto,5.00,4.00,20.00
Hh Pernicious,5.00,8.00,40.00
Hi Wire Bed Of Nails,7.13,8.00,57.00
Hoegaarden,5.14,8.00,41.08
Hoegarden,5.75,8.00,43.50
I. W. Harper Cabernet Cask Bourbon,20.00,8.00,130.00
Innis Gunn,5.00,8.00,40.00
Juice Quest,6.00,8.00,48.00
Long Drink,5.25,8.00,42.00
Monday Night Pilsner,6.38,8.00,45.00
Monkey Shoulder,14.22,9.00,120.00
Pepperoni Pizza,9.25,8.00,74.00
Pineapple Pop,5.00,8.00,40.00
Printers Ale,5.63,8.00,38.00
Rally Point,4.00,8.00,28.00
Side Of Caramel,0.19,8.00,1.50
Side Of Jalepenos,0.13,8.00,1.00
Side Of Pickled Onions,0.38,8.00,3.00
StillFire Hoochie Mama Milk Stout,5.14,7.00,31.00
Sunbird Pineapple 3mg can,5.00,8.00,39.22
Suncruiser,7.75,8.00,59.34
Suntory Whisky Toki,11.55,10.00,115.50
The Quiet Man 4 Year Whiskey,14.67,9.00,132.00
Three Taverns Hazy On Ponce,6.25,8.00,50.00
Virgin Mojito,5.88,8.00,44.00
Water Bottle,3.23,8.00,25.80
Whistle Pig 18 Whiskey,75.00,9.00,600.00
White Tea.,6.00,10.00,1.80
Wicked Weed Cerise Morte btl,20.57,7.00,134.00
2 Scoops Ice Cream,1.79,7.00,5.00
3 Flour Tortillas,0.00,7.00,0.00
Absolut Raspberry,6.00,7.00,42.00
Aviation,6.00,7.00,42.00
Balcones Baby Blue,21.14,7.00,148.00
Bardstown Bourbon Discovery Series 9,35.00,6.00,200.00
Basket Onion Rings,7.00,7.00,47.95
Beer,5.71,7.00,40.00
Bombay,5.00,7.00,35.00
Brhama,5.00,7.00,35.00
Cherry Chouffe,4.43,7.00,31.00
Creature Comforts Neon,8.00,7.00,52.00
Creature Comforts Sun Glow,5.29,7.00,37.00
DOW,11.00,6.00,66.00
Dansk Viking Blod BTL,40.00,6.00,180.00
Daycation,8.00,7.00,56.00
Deep Edies Lemon,5.00,7.00,25.00
Dow,15.43,7.00,104.68
Fever Tree Sparkling Grapefruit btl,5.50,7.00,38.50
Florida Man Tall Boy,5.00,7.00,35.00
Gran Centenario Reposado Tequila,12.29,7.00,84.80
Grilled Cheese With Fries,8.57,7.00,48.00
Hazy Little Thing,6.00,7.00,42.00
Honey Mustard,0.36,7.00,2.50
Irish Cream,5.43,7.00,38.00
LHH Cheese Curds,8.43,7.00,38.50
Labat Blue,4.00,7.00,24.00
Lemon Drop Shot,5.14,7.00,36.00
Mexican Lager,7.00,11.00,77.00
Mich Ultra Draft,0.00,7.00,0.00
Mozz Sticks!,6.00,7.00,42.00
Oyster Bay,15.40,5.00,77.00
Peach Mead,8.00,7.00,56.00
Quiet Man,10.57,7.00,57.00
Red Hare Long Day,6.00,8.00,48.00
Reformation Okt,8.00,7.00,56.00
Run Wild,5.50,7.00,34.16
Sd Marinara,0.50,7.00,3.50
Sd Queso,0.79,7.00,5.13
Side Of Guac,0.71,7.00,3.00
Side Of Spicy Mayo,0.00,7.00,0.00
Stella,6.17,6.00,34.81
Teremana Shot 1.5oz,7.00,7.00,49.00
Tiki Time,3.57,7.00,25.00
Trio & Chips (CAT),45.00,9.00,360.00
Uncle Nearest 1884 Whiskey,23.94,8.00,191.50
Uncle Nearest Straight Rye Whiskey,10.57,7.00,74.00
Victory Sour,7.00,7.00,49.00
Walking Taco Beef,13.00,7.00,91.00
Warst Dunk,6.86,7.00,48.00
White Claw Black Cherry,7.00,7.00,49.00
Whiteclaw,5.86,7.00,41.00
25 Wings (CAT),40.00,6.00,240.00
6 Bridges,7.33,6.00,44.00
Allagash Stout,7.67,6.00,46.00
Apothic Red Blend BT,35.00,5.00,52.50
Avocado Burger,17.54,6.00,105.25
Blue,4.50,6.00,27.00
Bold Monk,7.40,5.00,37.00
Bold Monk Dubbel,5.33,6.00,32.00
Bold Monk The Way,8.00,5.00,40.00
Brahma Beer,4.00,6.00,24.00
Bravazzi Hard Italian Soda Peach can,5.00,6.00,29.55
Classic City,6.33,6.00,38.00
Cranberry,3.33,6.00,20.00
Deschutes N A Fresh Squeezed can,6.00,6.00,36.00
Deschutes Patagonia,6.33,6.00,38.00
Deschuttes Obsidian,8.00,5.00,40.00
Dusse,11.00,6.00,66.00
Four Roses,12.08,6.00,72.48
Green River,7.00,6.00,42.00
Hazy,5.00,6.00,30.00
Hellfire Hive,9.50,6.00,57.00
Houdini Shot,5.33,6.00,32.00
Jack Blackberry,5.17,6.00,31.00
Kool Aid,8.83,6.00,53.00
LHH 10 Chicken Wings,14.00,5.00,68.60
London Beer,7.00,6.00,42.00
Lunazul,5.17,6.00,31.00
Lunch Jack And Coke,3.33,6.00,20.00
Lunch Titos Soda DBL,10.00,6.00,60.00
Michters Small Batch,18.68,6.00,112.08
Monkey Shou,15.00,6.00,90.00
Moohoo,6.67,6.00,40.00
Moonpie Shot,5.00,6.00,30.00
NEW - Frooty Blast From The Past,9.00,6.00,36.00
Newcastle,5.33,6.00,32.00
Parmesan Garlic Fries,7.00,5.00,31.50
Rhinegeist Flight,9.00,6.00,54.00
SIDE MAYO,0.00,6.00,0.00
Salsa,0.43,7.00,3.00
Scofflaw,6.33,6.00,38.00
Sd Pickles,0.17,6.00,0.00
Shandy,5.00,6.00,30.00
Side Of Lettuce,0.25,6.00,1.50
Side of Garlic Parmesan,0.50,6.00,2.86
Sierra Nevada,6.00,6.00,27.00
Sparkling Lemonada,11.67,6.00,58.00
Stillfire Irish Red,3.80,5.00,19.00
Sun Glow,7.00,6.00,42.00
Suncruiser Bucket,29.20,5.00,146.00
Suncruiser TEA,8.00,6.00,45.48
Sweet Heat BBQ Bacon Burger,15.38,6.00,92.25
Tap Out Marg,5.08,6.00,30.50
Teisted Tea,4.67,6.00,14.00
Tito's Lunch Double,10.00,6.00,60.00
Tucker Red,6.33,6.00,38.00
Vodka,7.00,6.00,42.00
Whistle Pig 18,75.00,6.00,450.00
Yazoo Dos Perros,6.00,5.00,27.00
2 Bluebberry Lemonades,0.00,5.00,0.00
2 Flour Tortillas,0.80,5.00,4.00
3 Taverns Hazy On Ponce,6.82,5.00,34.08
Akademia IPA,7.00,5.00,35.00
Ayinger Dunkel,8.00,5.00,40.00
Beer Zombies Come Out To Haze,7.00,5.00,35.00
Big Basket Of Fries,4.80,5.00,24.00
Brass Tap Classic Pizza (CAT),15.80,5.00,79.00
Bucket Of 5 Suncruisers,20.00,4.00,80.00
Bucket Of Pacifico,20.01,2.00,40.01
Bumbu,7.20,5.00,36.00
Bumbu Rum,7.20,5.00,36.00
Casa Noble Repo,9.00,5.00,41.50
Casamigos Jalapeno,10.60,5.00,53.00
D.O.W,5.10,5.00,17.50
Delirium Nocturnum btl,10.00,5.00,50.00
Dragon Fruit Lemonade,0.00,5.00,0.00
ETSU Japanese Gin,19.00,5.00,65.00
Enchantress,7.60,5.00,38.00
Espresso,4.50,5.00,20.50
Field Trip,7.00,5.00,35.00
Flight,9.20,5.00,46.00
Grolsh,7.00,5.00,35.00
Guiness,6.60,5.00,33.00
Half Guiness Half Angry Orchard,8.00,5.00,40.00
Hard Cherry Pie,5.60,5.00,28.00
Hendricks Dbl \ Dirty Martini,13.00,5.00,65.00
Hi Wire,8.00,5.00,40.00
Hi Wire Mango,1.60,5.00,8.00
Hi Wire Smores,7.80,5.00,39.00
Hippin Hops So Peachy,7.00,5.00,35.00
Hot from the Line (MM26),8.00,5.00,38.70
Innis,4.25,4.00,17.00
Jai Alai,5.60,5.00,28.00
Lamarca Prosecco,13.20,5.00,66.00
Legent,9.60,5.00,48.00
Legent Bour,16.00,5.00,80.00
Lindemans Peach,7.80,5.00,39.00
Long Island,12.20,5.00,61.00
Lucky Lemonade,8.00,5.00,40.00
Lunch Jack Daniels,5.00,5.00,25.00
Mango Cart,5.60,5.00,28.00
Mimosa,7.00,5.00,35.00
Mystery Beer,6.80,5.00,34.00
Old Nation M 43,8.00,5.00,40.00
Ole Smoky Mango Habanero Whiskey,7.00,5.00,10.50
Pacifico Bottle,5.00,5.00,25.00
Paper Plane,19.60,5.00,98.00
Paulaner,8.40,5.00,42.00
Peach State Light Can,5.00,5.00,25.00
Pilsner Urquell,7.00,5.00,35.00
Pink Lemonade Shandy,4.40,5.00,22.00
Poison Ivy,12.00,5.00,48.00
Pork Quesadillas (CAT),50.00,7.00,250.00
Prairie,7.60,5.00,38.00
RAJ WATER,0.00,5.00,0.00
Ranch Side,0.60,5.00,3.00
Reformation,6.20,5.00,31.00
S/O Salsa,0.00,5.00,0.00
SN Pale Ale Can,6.00,5.00,30.00
Scofflaw Juice Quest IPA can,6.00,2.00,12.00
Scofflaw Staycation,3.75,4.00,15.00
Side Lemon Pepper,0.20,5.00,0.50
Side Of Balsamic,0.30,5.00,1.50
Side Of Hot Sauce,0.00,5.00,0.00
Side Of Hot Wing Sauce,0.00,5.00,0.00
Side Of Marinara,0.10,5.00,0.50
Side Of Ragin Cajun,0.10,5.00,0.50
Side Sausage Gravy,1.00,5.00,2.00
Suncruiser Lemonade,8.00,5.00,40.00
Sweet Potato Fries,3.20,5.00,16.00
Sweetwater 420,7.00,5.00,27.67
Tepache,8.00,5.00,40.00
Teraman Anejo,12.00,5.00,60.00
The Dalmore 12yr Whiskey,18.00,5.00,90.00
Tito's & Soda (Lunch),5.00,5.00,25.00
Titos Double Lunch,8.40,5.00,42.00
Turkey Sausage Side,3.00,5.00,14.08
Ultra Zero,5.10,5.00,25.50
Uncle Nea,14.00,5.00,70.00
Watermelon Crawl,10.20,5.00,48.75
Westbrook White Thai,3.00,5.00,15.00
Yazoo,6.00,5.00,27.00
$3 Beer,3.00,4.00,9.00
2 Chicken Tacos,0.00,3.00,0.00
21+ Guests Verified,40.00,3.00,120.00
3 Tavern Juiced Ponce,7.00,4.00,28.00
3 Taverns Saporous,6.50,4.00,26.00
5$lunazulshot,5.00,4.00,20.00
Absolut,6.25,4.00,22.50
Apothic Red Blend,8.75,4.00,35.00
Atl Cherry Pie,6.00,4.00,24.00
Atlanta Cherry Pie,7.00,4.00,28.00
Atlanta Crisp Apple Cider,12.50,4.00,36.00
Basement,7.00,4.00,28.00
Basil Hayden,11.50,4.00,46.00
Basket Of Fries,5.88,4.00,23.50
Beer Flight,14.50,4.00,58.00
Blade And Bow Bourbon,15.00,7.00,105.00
Boom Boom Shrimp Refill,45.00,4.00,138.60
Brah,5.00,4.00,20.00
Brahm,5.50,4.00,22.00
Brama,5.00,4.00,20.00
Bud Light Bucket,15.00,4.00,60.00
Bumbar,8.00,4.00,32.00
Cambio,9.00,4.00,36.00
Campo Bravo,6.50,4.00,26.00
Captin Morgan,7.00,4.00,28.00
Casa Noble,8.25,4.00,33.00
Casa Noble Reposado,9.00,4.00,36.00
Cheeseburger Sliders With Fries,8.75,4.00,6.00
Classic City No Make,0.00,4.00,0.00
Coors,5.00,2.00,10.00
Country Boy Orange,5.50,4.00,22.00
Dalmore 15 Year Single Malt Scotch,33.00,4.00,132.00
Deschutes Black Obsidian,6.25,4.00,16.00
Dont Mock The Dragon,5.00,4.00,20.00
Double Casa Noble Reposado,12.00,4.00,48.00
Ecco Domani,10.00,4.00,40.00
Empress Cucumber Lemon Gin,9.00,4.00,36.00
Fall Line Okt,4.50,4.00,18.00
Floral Razz,6.00,4.00,24.00
French 75,12.00,4.00,48.00
Ginger Beer Bottle,3.50,4.00,14.00
Grateful Dead,8.00,3.00,21.50
HH Irish Gold Rush,7.00,4.00,28.00
HH Jai Alai,5.00,4.00,20.00
HH NUTRL Strawberry Lemonade can,6.00,4.00,24.00
Hangar 1 Buddhas Hand Citron Vodka,9.00,4.00,36.00
Hh Beer,5.00,4.00,20.00
Hh Beer Ccf,5.00,4.00,20.00
High Noon Passionfruit,7.00,4.00,28.00
Highland Park 12,18.40,5.00,92.00
Houdini Shots,6.00,4.00,24.00
Koolaid,9.00,4.00,31.50
LHH CAVIT Pinot G 6,5.00,4.00,20.00
LHH Chips & House Made Guacamole,7.25,4.00,29.00
LHH Fireball Shot,4.50,5.00,22.50
LHH Sangria Red,5.00,3.00,15.00
La Cucaracha,7.00,4.00,28.00
LaMarca,14.00,2.00,28.00
Labatt Blu,4.00,4.00,16.00
Labbat Blue,4.00,4.00,16.00
Large Basket Of Fries,6.50,2.00,13.00
Large Salsa,0.65,4.00,2.58
Leinenkugels,7.00,2.00,14.00
Lexington Town Branch Bourbon,16.00,4.00,64.00
Lindemans Peche btl,19.00,2.00,25.00
Lineage Texas,14.00,4.00,56.00
Liquid Death Still can,5.00,4.00,20.00
Liquor,2.00,4.00,8.00
Long Drink Bucket,30.00,4.00,120.00
Luck Of The Irish,4.00,4.00,16.00
Luck Of The Irish Shot,4.00,4.00,16.00
Lucky Charm Margarita,9.00,4.00,36.00
Lunazul Lunch,5.00,4.00,20.00
Lunch Tap Out Marg,5.00,4.00,20.00
Lunch Titos N Soda,5.00,4.00,20.00
Lunch Titos N Soda Dbl,10.00,4.00,40.00
Lunch Vodka,5.00,4.00,20.00
Martini,8.50,4.00,34.00
Mason Beer Zombies,7.75,4.00,31.00
Mercier Peach,4.75,4.00,18.50
Mezcal Pamela,7.50,4.00,30.00
Miss Peaches,7.83,6.00,47.00
Mocktail,6.88,4.00,27.50
Monday Field Trip,6.00,4.00,24.00
Monday Night Pilsnr Italliano,6.00,4.00,24.00
Moody Tongue Grapefruit,7.00,4.00,28.00
Moody Tongue Hop,9.00,4.00,36.00
Mozz Sticks,6.00,3.00,15.00
NEW - The Biggy BBQ Mac Burger 6oz,19.13,4.00,65.88
New Realm Lime of the Party,5.00,3.00,7.50
Night On Ponce Can,5.00,4.00,20.00
Oban 14,15.00,4.00,60.00
Old Nation M-43,8.00,4.00,32.00
Old Speckled Hen,4.00,4.00,16.00
Open Nation 42,8.00,4.00,32.00
Origional Sin,8.00,4.00,32.00
Owlin,3.00,4.00,12.00
Parish October,10.00,4.00,40.00
Patron Marg,13.00,4.00,52.00
Pb&j Shot,5.50,4.00,22.00
Peach St Can,4.00,4.00,16.00
Peach State Can,4.00,4.00,16.00
Pickle Juice,1.00,4.00,2.00
Pickpe Juice Shots,0.50,4.00,2.00
Producer Mezcal Green Tea,9.00,4.00,36.00
Psychedelic Rabbit,7.00,4.00,28.00
Quest Cost,7.00,4.00,28.00
Rajina George,13.00,4.00,52.00
Reeces Apple Pie,7.00,4.00,26.60
Rye,11.00,4.00,44.00
SN Hazy,6.00,4.00,24.00
Sam Adams Cold Snap,7.00,4.00,28.00
Scoff POG,7.00,4.00,28.00
Scofflaw Juice Quest,6.00,4.00,18.00
Scofflaw Pog,7.00,4.00,28.00
Scoflaw Basement Draft,7.00,4.00,28.00
Scoop Ice Cream,2.25,4.00,9.00
Sd Salsa,0.25,4.00,1.00
Side Guac,0.50,4.00,2.00
Side Of Bacon,0.50,4.00,0.00
Side Of Bbq Sauce,0.00,4.00,0.00
Side Of Brisket,2.25,4.00,9.00
Side Of Coleslaw,0.38,4.00,1.50
Side Of Honey Mustard,0.13,4.00,0.50
Side Of Hot Wing Sauce*,0.00,4.00,0.00
Side Of Lemon Pep,0.00,4.00,0.00
Side Of Poblano,0.00,4.00,0.00
Side Of Queso*,0.00,4.00,0.00
Side Of Raw Onion,0.00,4.00,0.00
Side Of Sour Cream,0.13,4.00,0.50
Side Sour Cream,0.00,4.00,0.00
Sierra Nevada Hazy,6.00,4.00,24.00
Six Bridges,7.75,4.00,31.00
Sn Pale Ale,6.00,5.00,24.00
Special,6.26,4.00,23.03
Spicy Mustard,0.13,4.00,0.50
Square,5.00,4.00,20.00
Stillfire,7.75,4.00,31.00
Strawberry Lemonade Smash,6.01,4.00,24.04
Strawberry Virgin Mojito,5.00,4.00,20.00
Sum Cruiser,2.35,4.00,9.40
Summer Old Fashion,12.00,4.00,48.00
Sun Glow Tropical,7.25,4.00,21.00
Suncruzer,6.00,4.00,24.00
Super Turbo,7.00,4.00,28.00
T Shirt,20.25,4.00,79.28
Teddy Loves,7.00,4.00,28.00
Tenn Moonshine,3.00,4.00,12.00
Terrapin Hops,6.50,4.00,26.00
Thc 4 Pack,12.00,4.00,48.00
Tito's Double,10.00,4.00,40.00
Titos And Soda,5.00,4.00,20.00
Touchdown Shot,5.00,4.00,20.00
Tracker,7.00,4.00,24.55
Tripping Animals Even More Six Years Fluff,3.25,4.00,13.00
Tullamore Honey,4.75,4.00,9.50
Virgin Strawberry Lemonade,3.00,4.00,12.00
Voodoo,4.50,4.00,18.00
Walking Taco Chicken,13.00,4.00,52.00
Watermelon Rita,12.50,4.00,50.00
Wicked Weed Smores,5.00,4.00,20.00
Yuengling,4.75,4.00,19.00
Zombie Shot,4.50,4.00,2.22
1 Scoop Of Ice Cream,0.67,3.00,2.00
10 Grilled Shrimp,8.25,4.00,33.00
10 Oz Tiki Haze,4.40,3.00,13.20
3 Taverns Raptorous,7.00,2.00,14.00
50 Wings (CAT),80.00,3.00,80.00
6 Fried Shrimp,4.00,3.00,12.00
6 Grilled Shrimp,6.00,3.00,18.00
6 Wings,12.00,3.00,36.00
90s Throwback Jersey,8.00,3.00,24.00
A,4.64,3.00,13.19
A Night On Ponce,7.00,3.00,21.00
ATL Cherry Pie,7.00,3.00,17.50
Ace Can,5.00,3.00,15.00
Actias Luna,8.00,3.00,24.00
Ammunition Rye,10.00,3.00,30.00
Anderson Valley Barney Flats,8.00,3.00,24.00
Anteel Repo Lunch Marg,5.00,3.00,15.00
Arches,6.67,3.00,20.00
Atlanta Tepache,8.00,3.00,24.00
BLACK BEAN BURGER,10.00,3.00,30.00
Beer Can,3.00,3.00,9.00
Bees Knees,14.00,3.00,40.60
Bells Tropical,7.00,2.00,14.00
Belvedere Soda Lite Ice Sugar Free Redbull,,0.00,0.00
Berne Glass,6.00,3.00,18.00
Betty Booz,3.00,3.00,9.00
Birramisu,7.33,3.00,8.00
Black Cherry White Claw,6.33,3.00,17.81
Blade & Bow Kentucky Bourbon,15.00,3.00,45.00
Bliss Mead,9.00,3.00,27.00
Bold Monk Draft,8.00,3.00,24.00
Bold.monk The Way,8.00,3.00,24.00
Boldrock Sunset,7.00,3.00,21.00
Brahma Chopp,6.00,3.00,0.00
Brass Tap Classic,3.33,3.00,9.00
Bravazzi Can,5.00,3.00,14.50
Bravazzi Peach,5.00,3.00,15.00
Bucket Of Bud Light,15.00,1.00,12.76
Bud Zero,5.00,3.00,15.00
Buff Chicken Quesadilla,0.00,3.00,0.00
Buffalo Side,0.33,3.00,1.00
Bushmills,11.00,3.00,33.00
CC Neon Cylinders,8.00,3.00,24.00
Caesar Dressing,0.17,3.00,0.50
Cambio Blanco,8.00,3.00,24.00
Cambio Reposado,10.00,3.00,30.00
Can Cold,3.00,3.00,9.00
Cerveza,7.00,3.00,21.00
Cherry Pie,7.00,2.00,10.50
Chicken Pot Stickers,13.00,3.00,39.00
Chicken Tender Basket,0.00,3.00,0.00
Chill Shot,1.00,3.00,3.00
Choco. Stout,8.00,3.00,24.00
Chouffe Cherry,5.00,3.00,15.00
Classic Margarita,10.00,3.00,30.00
Combo Taco Bar (CAT),85.00,4.00,340.00
Country Boy,5.33,3.00,16.00
Country Boy Orange Cream,8.00,3.00,16.00
Creamsickle Comeback,8.00,3.00,24.00
Creamsicle Comeback,8.00,3.00,24.00
Creature Comforts Athena,7.00,3.00,21.00
Creature Comforts Cylinder,8.00,3.00,24.00
Creature Comforts Sour,8.00,3.00,20.13
Crooked Owl,5.36,3.00,15.47
Cuervo Repo,13.33,3.00,0.00
DAMINGA,7.00,3.00,21.00
Dahlonega Sky Squirrel,7.33,3.00,22.00
Deep Eddy Lemon Drop Martini,10.00,3.00,30.00
Deschutes Lager,6.00,3.00,18.00
Deschutes Patagonia HH,7.00,3.00,21.00
Desert Fire Sangria,10.00,3.00,30.00
Dewars*,7.00,2.00,10.94
Dive Beer Bucket,15.00,3.00,45.00
Dive Beer Chilled.glass,3.00,3.00,9.00
Dive Beer W Cold Glass,3.00,3.00,9.00
Dogfisg,6.00,3.00,18.00
Don Julio Repo,15.00,3.00,45.00
Dr Robot,5.67,3.00,17.00
Drafty Kilt,8.00,3.00,24.00
El Buho Drink,11.00,3.00,33.00
Emergency Drinking Beer,3.00,3.00,9.00
Empress Gin Martini,13.00,3.00,39.00
Fall Line Oktoberfest,5.00,3.00,15.00
Firemaker Uno Mas,7.00,3.00,21.00
Fish And Chips,10.67,3.00,16.00
Fix,0.42,3.00,1.13
Florida Can,5.00,3.00,15.00
Flower Power Shot,6.00,3.00,15.91
Flutter Nutter,7.00,3.00,21.00
Fried Green Tomatoes,6.67,3.00,10.00
Full Court Floral,8.00,3.00,24.00
Ghost,7.33,3.00,22.00
Ghost Double,12.00,3.00,36.00
Gilroy Garlic Fries App,8.00,2.00,16.00
Glass Of Cranberry Juice,2.00,3.00,6.00
Glass Of Rose,8.00,3.00,24.00
Glory Haze,7.00,3.00,21.00
Grapefruit Guice,1.50,3.00,4.50
Grilled Cheese And Fries,8.00,3.00,24.00
Grilled Chicken,4.66,3.00,13.99
Guac,3.50,3.00,5.50
HH Blood Orange Marg,7.00,3.00,21.00
HH Buffalo Trace,6.00,3.00,18.00
HH NUTRL Peach Lemonade can,6.00,3.00,18.00
HH NUTRL Raspberry Seltzer can,5.50,3.00,16.50
Helluvanian Pint,7.00,3.00,21.00
Hendrix,9.00,3.00,27.00
Hhb,5.00,3.00,15.00
High Noon,7.33,3.00,22.00
Highland Beer,4.00,3.00,12.00
Highnoon GRAPEFRUIT,8.00,3.00,24.00
Highnoon Peach,5.00,3.00,15.00
Hoegaarden Original,5.00,3.00,15.00
Hooegarden,6.00,3.00,18.00
Hot Honey,0.50,3.00,1.50
